original_class,predicted_class,num_iteration,confidence
909,925,0,0.6070266366004944
909,567,0,0.9985337257385254
909,0,0,0.4576752185821533
909,925,0,0.9887216091156006
909,891,0,0.9786115288734436
909,577,0,0.8311131596565247
909,567,0,0.7096656560897827
909,766,0,0.9999997615814209
909,567,0,0.8134706020355225
909,827,0,0.6961103677749634
909,567,0,0.9998942613601685
909,567,0,0.9984205961227417
909,926,0,0.8137363791465759
909,747,0,0.2404039353132248
909,567,0,0.4685821831226349
909,715,0,0.9996198415756226
909,926,0,0.8091571927070618
909,567,0,0.9986376166343689
909,831,0,0.9481826424598694
909,577,0,0.7250190377235413
909,567,0,0.9483352899551392
909,567,0,0.9738675951957703
909,831,0,0.2706610858440399
909,567,0,0.9843749403953552
909,926,0,0.9998664855957031
909,956,0,0.7040604948997498
909,473,0,0.3571285605430603
909,567,0,0.968471884727478
909,926,0,0.6372500061988831
909,766,0,0.9768537878990173
909,567,0,0.9965872764587402
909,567,0,0.9943895936012268
909,577,1,0.6784775257110596
909,689,0,0.13247239589691162
909,567,0,0.9632829427719116
909,567,0,0.8240572810173035
909,577,0,0.7737226486206055
909,783,0,0.547825038433075
909,731,0,0.9996665716171265
909,766,0,0.9996205568313599
909,567,0,0.9959065914154053
909,567,0,0.9993396401405334
909,567,0,0.9973564147949219
909,926,0,0.9392070174217224
909,969,0,0.7592079043388367
909,940,0,0.45153626799583435
909,926,0,0.9909811615943909
909,812,0,0.5499614477157593
909,856,0,0.8805719017982483
909,891,0,0.8297058343887329
909,567,0,0.9995101690292358
909,715,0,0.32516947388648987
909,567,0,0.9888705015182495
909,567,0,0.8945870399475098
909,567,0,0.9989638328552246
909,183,0,0.475959450006485
909,62,0,0.2331123799085617
909,787,0,0.5500936508178711
909,604,0,0.2987927198410034
909,712,0,0.12244029343128204
909,567,0,0.9998511075973511
909,567,0,0.9760217070579529
909,891,0,0.9995362758636475
909,937,0,0.5604282021522522
909,567,0,0.9984251260757446
909,567,0,0.7688995599746704
909,891,0,0.9979208111763
909,567,0,0.8920717239379883
909,567,0,0.9632943272590637
909,455,0,0.19076348841190338
909,491,0,0.5946062207221985
909,494,0,0.9478753805160522
909,891,0,0.6652044653892517
909,567,0,0.9919131994247437
909,567,0,0.5826817154884338
909,567,0,0.9992454051971436
909,822,0,0.7902158498764038
909,926,0,0.9735062718391418
909,122,0,0.26775291562080383
909,567,0,0.9925082325935364
909,567,0,0.9290496110916138
909,567,0,0.978354275226593
909,567,0,0.996887743473053
909,846,0,0.2863615155220032
909,473,0,0.8605043888092041
909,906,0,0.17088887095451355
909,567,0,0.9110714793205261
909,715,0,0.2803301513195038
909,969,0,0.5660565495491028
909,925,0,0.893934965133667
909,47,0,0.7834014892578125
909,766,0,0.46868932247161865
909,746,0,0.20151539146900177
909,567,0,0.9999711513519287
909,891,0,0.999386191368103
909,567,0,0.976951539516449
909,194,0,0.12521661818027496
909,851,0,0.4033280611038208
909,567,0,0.9993890523910522
909,686,0,0.9998877048492432
61,62,0,0.9999456405639648
61,584,0,0.7195802330970764
61,62,0,0.4074070453643799
61,228,0,0.4183979332447052
61,996,0,0.9678325057029724
61,68,0,0.7665082216262817
61,62,0,0.9994818568229675
61,62,0,0.9969272017478943
61,63,0,0.339921236038208
61,62,0,0.9942711591720581
61,68,0,0.2602929174900055
61,68,0,0.8239662647247314
61,689,0,0.2083423137664795
61,168,0,0.12783828377723694
61,62,0,0.28005149960517883
61,78,0,0.15272529423236847
61,62,0,0.9551119804382324
61,62,0,0.9861313104629517
61,101,0,0.3659137487411499
61,689,0,0.3761204183101654
61,73,0,0.7883172631263733
61,116,0,0.9895552396774292
61,465,0,0.8798645734786987
61,743,0,0.17999717593193054
61,66,0,0.6004164814949036
61,206,0,0.36816662549972534
61,66,0,0.34247541427612305
61,62,0,0.9995700716972351
61,68,0,0.8388293981552124
61,68,0,0.7832769155502319
61,66,0,0.4969867765903473
61,165,0,0.8537941575050354
61,68,0,0.8046039938926697
61,220,0,0.25341299176216125
61,73,0,0.1731870025396347
61,860,0,0.3126679062843323
61,699,0,0.28358250856399536
61,147,0,0.303501158952713
61,34,0,0.534550666809082
61,996,0,0.6986085772514343
61,616,0,0.29700762033462524
61,68,0,0.6092886924743652
61,62,0,0.7484232187271118
61,66,0,0.5238826274871826
61,821,0,0.8906003832817078
61,62,0,0.7266895771026611
61,62,0,0.2831389904022217
61,810,0,0.16403450071811676
61,616,0,0.3971706032752991
61,68,0,0.8096388578414917
61,43,0,0.9529642462730408
61,68,0,0.6024238467216492
61,68,0,0.4982949495315552
61,68,0,0.5558379292488098
61,335,0,0.054834045469760895
61,62,0,0.8939182162284851
61,62,0,0.8279516100883484
61,62,0,0.4822964370250702
61,68,0,0.580958902835846
61,68,0,0.6731504201889038
61,364,0,0.5048855543136597
61,62,0,0.987453818321228
61,229,0,0.33235862851142883
61,996,0,0.9580113291740417
61,68,0,0.35632750391960144
61,62,0,0.5705069899559021
61,68,0,0.2106560468673706
61,62,0,0.7768829464912415
61,377,0,0.7160859704017639
61,189,0,0.4148305058479309
61,683,0,0.9994826316833496
61,996,0,0.20712649822235107
61,62,0,0.504006564617157
61,293,0,0.7718372941017151
61,62,0,0.6215693950653076
61,62,0,0.8311250805854797
61,335,0,0.19353386759757996
61,653,0,0.2191372662782669
61,490,0,0.985446572303772
61,996,0,0.7906237244606018
61,68,0,0.8114711046218872
61,68,0,0.8325429558753967
61,73,0,0.41427308320999146
61,62,0,0.9754143357276917
61,804,0,0.5420377254486084
61,135,0,0.8576818704605103
61,860,0,0.34060418605804443
61,103,0,0.9698062539100647
61,68,0,0.6897929906845093
61,351,0,0.5136353373527527
61,68,0,0.49421316385269165
61,996,0,0.7701952457427979
61,962,0,0.25136756896972656
61,62,0,0.8485279679298401
61,66,0,0.589357852935791
61,68,0,0.5292768478393555
61,32,0,0.9983407258987427
61,68,0,0.7018646001815796
61,66,0,0.3062765300273895
61,66,0,0.5490178465843201
338,335,0,0.2116697132587433
338,376,0,0.6098639369010925
338,341,0,0.740662157535553
338,228,0,0.3568839132785797
338,684,0,0.9263829588890076
338,562,0,0.6745867729187012
338,332,0,0.6851682066917419
338,384,0,0.30043721199035645
338,175,0,0.935913622379303
338,337,0,0.23785312473773956
338,846,0,0.7529414892196655
338,370,0,0.8919724822044373
338,377,0,0.9411863088607788
338,680,0,0.27593547105789185
338,337,0,0.9514039754867554
338,158,0,0.4852665066719055
338,29,0,0.9559321999549866
338,98,0,0.19008389115333557
338,332,0,0.599429190158844
338,155,0,0.3742108941078186
338,335,0,0.5894014835357666
338,29,0,0.6308302879333496
338,359,0,0.4254750907421112
338,812,0,0.420810729265213
338,335,0,0.8327635526657104
338,335,0,0.30369603633880615
338,332,0,0.8007116317749023
338,73,0,0.29873138666152954
338,152,0,0.3683202266693115
338,332,0,0.2031274139881134
338,126,0,0.5476039052009583
338,551,0,0.5844492316246033
338,680,0,0.8625040054321289
338,689,0,0.3331395387649536
338,262,0,0.9958240985870361
338,152,0,0.5388577580451965
338,191,0,0.2183767706155777
338,273,0,0.20526079833507538
338,183,0,0.4348169267177582
338,190,0,0.5205672979354858
338,103,0,0.33701902627944946
338,221,0,0.5400266647338867
338,377,0,0.5166177153587341
338,333,0,0.8596578240394592
338,680,0,0.08841507881879807
338,183,0,0.8549952507019043
338,188,0,0.20652168989181519
338,335,0,0.8497253656387329
338,332,0,0.43072327971458435
338,126,0,0.27146831154823303
338,164,0,0.3010450303554535
338,332,0,0.8738207221031189
338,335,0,0.31385400891304016
338,298,0,0.5348799824714661
338,152,0,0.6956726908683777
338,152,0,0.3848891854286194
338,418,0,0.2957759499549866
338,940,0,0.8550059795379639
338,361,0,0.5469368696212769
338,332,0,0.6538174748420715
338,739,0,0.38356152176856995
338,152,0,0.9821293950080872
338,359,0,0.36814701557159424
